Name,Address,postalCode,waitingTime,geocodingData
KHOO TECK PUAT HOSPITAL, 90 YISHUN CENTRAL Singapore 768828,768828,65,"{   ""statename"" : {},   ""distance"" : ""0.000"",   ""elevation"" : ""15"",   ""osmtags"" : {      ""wikipedia"" : ""en:North West Community Development Council"",      ""wikidata"" : ""Q5784118"",      ""source"" : ""https://www.cdc.org.sg/NorthWest/About_Us/Our_District"",      ""name"" : ""Northwest"",      ""name_zh"" : ""西北区"",      ""ISO3166_2"" : ""SG-03"",      ""admin_level"" : ""6"",      ""boundary"" : ""administrative"",      ""type"" : ""boundary""   },   ""state"" : ""SG"",   ""latt"" : ""1.42386"",   ""city"" : ""Singapore"",   ""prov"" : ""SG"",   ""intersection"" : {      ""distance"" : ""0.076"",      ""xlat"" : ""1.42348"",      ""xlon"" : ""103.83898"",      ""street2"" : ""Yishun Central"",      ""street1"" : ""YISHUN AVENUE 4""   },   ""geocode"" : ""SIN-URIQN"",   ""geonumber"" : ""5071990637909"",   ""country"" : ""Singapore"",   ""stnumber"" : ""90"",   ""staddress"" : ""YISHUN CENTRAL"",   ""inlatt"" : ""1.42386"",   ""alt"" : {      ""loc"" : {         ""staddress"" : ""YISHUN CENTRAL"",         ""stnumber"" : ""90"",         ""postal"" : ""768828"",         ""latt"" : ""1.42386"",         ""city"" : ""Singapore"",         ""prov"" : ""SG"",         ""longt"" : ""103.83841"",         ""class"" : {}      }   },   ""timezone"" : ""Asia/Singapore"",   ""region"" : {},   ""postal"" : ""768828"",   ""poi"" : {      ""source"" : ""Kaart Ground Survey 2017"",      ""poilat"" : ""1.42331"",      ""name"" : ""McDonald's"",      ""brand"" : ""McDonald's"",      ""addr_street"" : ""Yishun Avenue 4"",      ""drive_through"" : ""yes"",      ""brand_wikipedia"" : ""en:McDonald's"",      ""amenity"" : ""fast_food"",      ""poilon"" : ""103.84099"",      ""takeaway"" : ""yes"",      ""building"" : ""yes"",      ""id"" : ""478138564"",      ""brand_wikidata"" : ""Q38076"",      ""poidist"" : ""0.293"",      ""cuisine"" : ""burger""   },   ""longt"" : ""103.83841"",   ""remaining_credits"" : {},   ""confidence"" : ""1"",   ""inlongt"" : ""103.83841"",   ""class"" : {},   ""adminareas"" : {      ""admin6"" : {         ""wikipedia"" : ""en:North West Community Development Council"",         ""wikidata"" : ""Q5784118"",         ""source"" : ""https://www.cdc.org.sg/NorthWest/About_Us/Our_District"",         ""name"" : ""Northwest"",         ""name_zh"" : ""西北区"",         ""ISO3166_2"" : ""SG-03"",         ""admin_level"" : ""6"",         ""level"" : ""6"",         ""boundary"" : ""administrative"",         ""type"" : ""boundary""      }   },   ""altgeocode"" : ""NEESOON-URIQN""}"
KK WOMEN'S AND CHILDREN'S HOSPITAL, 100 BUKIT TIMAH ROAD Singapore 229899,229899,19,"{   ""statename"" : {},   ""distance"" : ""0.000"",   ""elevation"" : ""26"",   ""osmtags"" : {      ""wikidata"" : ""Q2544592"",      ""source"" : ""https://www.cdc.org.sg/CentralSingapore/About_Us/Our_District"",      ""boundary"" : ""administrative"",      ""name"" : ""Central"",      ""ISO3166_2"" : ""SG-01"",      ""type"" : ""boundary"",      ""admin_level"" : ""6""   },   ""state"" : ""SG"",   ""latt"" : ""1.31045"",   ""city"" : ""Singapore"",   ""prov"" : ""SG"",   ""intersection"" : {      ""distance"" : ""0.142"",      ""xlat"" : ""1.31062"",      ""xlon"" : ""103.84792"",      ""street2"" : ""Hampshire Road"",      ""street1"" : ""Kampong Java Road""   },   ""geocode"" : ""SIN-ELCRS"",   ""geonumber"" : ""5071983216812"",   ""country"" : ""Singapore"",   ""stnumber"" : ""100"",   ""staddress"" : ""BUKIT TIMAH ROAD"",   ""inlatt"" : ""1.31045"",   ""alt"" : {      ""loc"" : {         ""staddress"" : ""BUKIT TIMAH ROAD"",         ""stnumber"" : ""100"",         ""postal"" : ""229899"",         ""latt"" : ""1.31045"",         ""city"" : ""Singapore"",         ""prov"" : ""SG"",         ""longt"" : ""103.84665"",         ""class"" : {}      }   },   ""timezone"" : ""Asia/Singapore"",   ""region"" : {},   ""postal"" : ""229899"",   ""poi"" : {      ""wikidata"" : ""Q6332329"",      ""building_part"" : ""yes"",      ""poilat"" : ""1.31063"",      ""building_levels"" : ""2"",      ""name"" : ""Kandang Kerbau Women's and Children's Hospital"",      ""amenity"" : ""hospital"",      ""emergency"" : ""yes"",      ""poilon"" : ""103.84648"",      ""building"" : ""yes"",      ""id"" : ""41663272"",      ""alt_name"" : ""KK Hospital"",      ""poidist"" : ""0.028""   },   ""longt"" : ""103.84665"",   ""remaining_credits"" : {},   ""confidence"" : ""1"",   ""inlongt"" : ""103.84665"",   ""class"" : {},   ""adminareas"" : {      ""admin6"" : {         ""wikidata"" : ""Q2544592"",         ""source"" : ""https://www.cdc.org.sg/CentralSingapore/About_Us/Our_District"",         ""name"" : ""Central"",         ""ISO3166_2"" : ""SG-01"",         ""admin_level"" : ""6"",         ""level"" : ""6"",         ""boundary"" : ""administrative"",         ""type"" : ""boundary""      }   },   ""altgeocode"" : ""ILYPARK-ELCRS""}"
MOUNT ALVERNIA HOSPITAL, 820 THOMSON ROAD Singapore 574623,574623,40,"{   ""statename"" : {},   ""distance"" : ""0.000"",   ""elevation"" : ""26"",   ""osmtags"" : {      ""wikidata"" : ""Q2544592"",      ""source"" : ""https://www.cdc.org.sg/CentralSingapore/About_Us/Our_District"",      ""boundary"" : ""administrative"",      ""name"" : ""Central"",      ""ISO3166_2"" : ""SG-01"",      ""type"" : ""boundary"",      ""admin_level"" : ""6""   },   ""state"" : ""SG"",   ""latt"" : ""1.34125"",   ""city"" : ""Caldecott Hill Estate"",   ""prov"" : ""SG"",   ""intersection"" : {      ""distance"" : ""0.074"",      ""xlat"" : ""1.34179"",      ""xlon"" : ""103.836275"",      ""street2"" : ""Thomson Road"",      ""street1"" : ""MacRitchie Viaduct""   },   ""geocode"" : ""SIN-VYTUC"",   ""geonumber"" : ""5071991225446"",   ""country"" : ""Singapore"",   ""stnumber"" : ""820"",   ""staddress"" : ""Thomson Road"",   ""inlatt"" : ""1.34125"",   ""alt"" : {      ""loc"" : {         ""staddress"" : ""Thomson Road"",         ""stnumber"" : ""820"",         ""postal"" : ""574623"",         ""latt"" : ""1.34125"",         ""city"" : ""Caldecott Hill Estate"",         ""prov"" : ""SG"",         ""longt"" : ""103.83667"",         ""class"" : {}      }   },   ""timezone"" : ""Asia/Singapore"",   ""region"" : ""Central Singapore"",   ""postal"" : ""574623"",   ""poi"" : {      ""wikidata"" : ""Q6919390"",      ""poilat"" : ""1.3418"",      ""name"" : ""Mount Alvernia Hospital"",      ""addr_street"" : ""Thomson Road"",      ""addr_postcode"" : ""574623"",      ""amenity"" : ""hospital"",      ""emergency"" : ""yes"",      ""poilon"" : ""103.83747"",      ""addr_housenumber"" : ""820"",      ""id"" : ""74715098"",      ""poidist"" : ""0.108"",      ""healthcare"" : ""hospital""   },   ""longt"" : ""103.83667"",   ""remaining_credits"" : {},   ""confidence"" : ""1"",   ""inlongt"" : ""103.83667"",   ""class"" : {},   ""adminareas"" : {      ""admin6"" : {         ""wikidata"" : ""Q2544592"",         ""source"" : ""https://www.cdc.org.sg/CentralSingapore/About_Us/Our_District"",         ""name"" : ""Central"",         ""ISO3166_2"" : ""SG-01"",         ""admin_level"" : ""6"",         ""level"" : ""6"",         ""boundary"" : ""administrative"",         ""type"" : ""boundary""      }   },   ""altgeocode"" : ""OTTHI-VYTUC""}"
MOUNT ELIZABETH HOSPITAL, 3 Mount Elizabeth Singapore 228510,228510,105,"{   ""statename"" : {},   ""distance"" : ""0.005"",   ""elevation"" : ""38"",   ""osmtags"" : {      ""wikidata"" : ""Q2544592"",      ""source"" : ""https://www.cdc.org.sg/CentralSingapore/About_Us/Our_District"",      ""boundary"" : ""administrative"",      ""name"" : ""Central"",      ""ISO3166_2"" : ""SG-01"",      ""type"" : ""boundary"",      ""admin_level"" : ""6""   },   ""state"" : ""SG"",   ""latt"" : ""1.30541"",   ""city"" : ""Singapore"",   ""prov"" : ""SG"",   ""geocode"" : ""SIN-EODEP"",   ""geonumber"" : ""5071983269875"",   ""country"" : ""Singapore"",   ""stnumber"" : ""3"",   ""staddress"" : ""MOUNT ELIZABETH"",   ""inlatt"" : ""1.30543"",   ""alt"" : {      ""loc"" : [         {            ""staddress"" : ""Mount Elizabeth Medical Centre"",            ""stnumber"" : ""3"",            ""postal"" : ""228510"",            ""latt"" : ""1.30543"",            ""city"" : ""Singapore"",            ""prov"" : ""SG"",            ""longt"" : ""103.83551"",            ""class"" : {}         },         {            ""staddress"" : ""MOUNT ELIZABETH"",            ""stnumber"" : ""3"",            ""postal"" : ""228510"",            ""latt"" : ""1.30543"",            ""city"" : ""Singapore"",            ""prov"" : ""SG"",            ""longt"" : ""103.83551"",            ""class"" : {}         }      ]   },   ""timezone"" : ""Asia/Singapore"",   ""region"" : {},   ""postal"" : ""228510"",   ""poi"" : {      ""poilat"" : ""1.30544"",      ""addr_country"" : ""SG"",      ""name"" : ""UOB"",      ""phone"" : ""1800 222 9889"",      ""branch"" : ""Mount Elizabeth"",      ""addr_street"" : ""Mount Elizabeth Medical Centre"",      ""addr_postcode"" : ""228510"",      ""amenity"" : ""bank"",      ""poilon"" : ""103.83555"",      ""addr_city"" : ""Singapore"",      ""addr_housenumber"" : ""3"",      ""addr_unit"" : ""#01-03/05"",      ""id"" : ""4869134406"",      ""poidist"" : ""0""   },   ""longt"" : ""103.83547"",   ""remaining_credits"" : {},   ""confidence"" : ""1"",   ""inlongt"" : ""103.83551"",   ""class"" : {},   ""adminareas"" : {      ""admin6"" : {         ""wikidata"" : ""Q2544592"",         ""source"" : ""https://www.cdc.org.sg/CentralSingapore/About_Us/Our_District"",         ""name"" : ""Central"",         ""ISO3166_2"" : ""SG-01"",         ""admin_level"" : ""6"",         ""level"" : ""6"",         ""boundary"" : ""administrative"",         ""type"" : ""boundary""      }   },   ""altgeocode"" : ""ORCHARDSG-EODEP""}"
MOUNT ELIZABETH NOVENA HOSPITAL, 38 Irrawaddy Road Singapore 329563,329563,116,"{   ""statename"" : {},   ""distance"" : ""0.002"",   ""elevation"" : ""12"",   ""osmtags"" : {      ""wikidata"" : ""Q2544592"",      ""source"" : ""https://www.cdc.org.sg/CentralSingapore/About_Us/Our_District"",      ""boundary"" : ""administrative"",      ""name"" : ""Central"",      ""ISO3166_2"" : ""SG-01"",      ""type"" : ""boundary"",      ""admin_level"" : ""6""   },   ""state"" : ""SG"",   ""latt"" : ""1.32211"",   ""city"" : ""Singapore"",   ""prov"" : ""SG"",   ""geocode"" : ""SIN-EQKVM"",   ""geonumber"" : ""5071983310198"",   ""country"" : ""Singapore"",   ""stnumber"" : ""38"",   ""staddress"" : ""IRRAWADDY ROAD"",   ""inlatt"" : ""1.32212"",   ""alt"" : {      ""loc"" : {         ""staddress"" : ""IRRAWADDY ROAD"",         ""stnumber"" : ""38"",         ""postal"" : ""329563"",         ""latt"" : ""1.32212"",         ""city"" : ""Singapore"",         ""prov"" : ""SG"",         ""longt"" : ""103.84431"",         ""class"" : {}      }   },   ""timezone"" : ""Asia/Singapore"",   ""region"" : ""Central Singapore"",   ""postal"" : ""329563"",   ""poi"" : {      ""poilat"" : ""1.3219"",      ""website"" : ""https://www.mountelizabeth.com.sg/"",      ""name"" : ""Mount Elizabeth Novena Hospital"",      ""phone"" : ""+65 69330000"",      ""amenity"" : ""hospital"",      ""email"" : ""mnpac@parkwaypantai.com"",      ""poilon"" : ""103.84409"",      ""id"" : ""260549167"",      ""poidist"" : ""0.035"",      ""healthcare"" : ""hospital""   },   ""longt"" : ""103.84432"",   ""remaining_credits"" : {},   ""confidence"" : ""1"",   ""inlongt"" : ""103.84431"",   ""class"" : {},   ""adminareas"" : {      ""admin6"" : {         ""wikidata"" : ""Q2544592"",         ""source"" : ""https://www.cdc.org.sg/CentralSingapore/About_Us/Our_District"",         ""name"" : ""Central"",         ""ISO3166_2"" : ""SG-01"",         ""admin_level"" : ""6"",         ""level"" : ""6"",         ""boundary"" : ""administrative"",         ""type"" : ""boundary""      }   },   ""altgeocode"" : ""VALUTH-EQKVM""}"
NATIONAL HEART CENTRE SINGAPORE, 5 HOSPITAL DRIVE Singapore 169609,169609,3,"{   ""statename"" : {},   ""distance"" : ""0.000"",   ""elevation"" : ""19"",   ""osmtags"" : {      ""wikidata"" : ""Q2544592"",      ""source"" : ""https://www.cdc.org.sg/CentralSingapore/About_Us/Our_District"",      ""boundary"" : ""administrative"",      ""name"" : ""Central"",      ""ISO3166_2"" : ""SG-01"",      ""type"" : ""boundary"",      ""admin_level"" : ""6""   },   ""state"" : ""SG"",   ""latt"" : ""1.27858"",   ""city"" : ""Singapore"",   ""prov"" : ""SG"",   ""intersection"" : {      ""distance"" : ""0.103"",      ""xlat"" : ""1.278915"",      ""xlon"" : ""103.83698"",      ""street2"" : ""Hospital Drive"",      ""street1"" : ""Second Hospital Avenue""   },   ""geocode"" : ""SIN-GBVMT"",   ""geonumber"" : ""5071983967719"",   ""country"" : ""Singapore"",   ""stnumber"" : ""5"",   ""staddress"" : ""HOSPITAL DRIVE"",   ""inlatt"" : ""1.27858"",   ""alt"" : {      ""loc"" : {         ""staddress"" : ""HOSPITAL DRIVE"",         ""stnumber"" : ""5"",         ""postal"" : ""169609"",         ""latt"" : ""1.27858"",         ""city"" : ""Singapore"",         ""prov"" : ""SG"",         ""longt"" : ""103.83612"",         ""class"" : {}      }   },   ""timezone"" : ""Asia/Singapore"",   ""region"" : {},   ""postal"" : ""169609"",   ""poi"" : {      ""website"" : ""https://polyclinic.singhealth.com.sg/AboutUs/OurPolyclinics/Pages/SHP-Outram.aspx"",      ""addr_country"" : ""SG"",      ""operator"" : ""SingHealth"",      ""email"" : ""outrampolyclinic@singhealth.com.sg"",      ""poilon"" : ""103.83817"",      ""addr_unit"" : ""#02-00"",      ""id"" : ""4583842097"",      ""poilat"" : ""1.2799"",      ""opening_hours"" : ""Mo-Fr 08:00-12:00; Mo-Fr 14:00-16:30; Sa 08:00-12:00; Su off; PH off"",      ""addr_housename"" : ""Health Promotion Board Building"",      ""name"" : ""Outram Polyclinic"",      ""addr_postcode"" : ""168937"",      ""addr_street"" : ""Second Hospital Avenue"",      ""branch"" : ""Outram"",      ""phone"" : ""+65 6643 6969"",      ""amenity"" : ""clinic"",      ""addr_housenumber"" : ""3"",      ""addr_city"" : ""Singapore"",      ""poidist"" : ""0.271""   },   ""longt"" : ""103.83612"",   ""remaining_credits"" : {},   ""confidence"" : ""1"",   ""inlongt"" : ""103.83612"",   ""class"" : {},   ""adminareas"" : {      ""admin6"" : {         ""wikidata"" : ""Q2544592"",         ""source"" : ""https://www.cdc.org.sg/CentralSingapore/About_Us/Our_District"",         ""name"" : ""Central"",         ""ISO3166_2"" : ""SG-01"",         ""admin_level"" : ""6"",         ""level"" : ""6"",         ""boundary"" : ""administrative"",         ""type"" : ""boundary""      }   },   ""altgeocode"" : ""OUTRAMPARK-GBVMT""}"
NATIONAL UNIVERSITY HOSPITAL, 5 LOWER KENT RIDGE ROAD Singapore 119074,119074,73,"{   ""statename"" : {},   ""distance"" : ""0.001"",   ""elevation"" : ""39"",   ""osmtags"" : {      ""wikipedia"" : ""en:South West Community Development Council"",      ""wikidata"" : ""Q5784126"",      ""source"" : ""https://cdc.org.sg/SouthWest/About-Us/About-the-CDC"",      ""name"" : ""Southwest"",      ""name_zh"" : ""西南区"",      ""ISO3166_2"" : ""SG-05"",      ""admin_level"" : ""6"",      ""boundary"" : ""administrative"",      ""type"" : ""boundary""   },   ""state"" : ""SG"",   ""latt"" : ""1.29484"",   ""city"" : ""Singapore"",   ""prov"" : ""SG"",   ""geocode"" : ""SIN-FCOKN"",   ""geonumber"" : ""5071983523529"",   ""country"" : ""Singapore"",   ""stnumber"" : ""5"",   ""staddress"" : ""LOWER KENT RIDGE ROAD"",   ""inlatt"" : ""1.29484"",   ""alt"" : {      ""loc"" : {         ""staddress"" : ""LOWER KENT RIDGE ROAD"",         ""stnumber"" : ""5"",         ""postal"" : ""119074"",         ""latt"" : ""1.29484"",         ""city"" : ""Singapore"",         ""prov"" : ""SG"",         ""longt"" : ""103.78373"",         ""class"" : {}      }   },   ""timezone"" : ""Asia/Singapore"",   ""region"" : ""Central Singapore"",   ""postal"" : ""119074"",   ""poi"" : {      ""amenity"" : ""fast_food"",      ""poilat"" : ""1.29576"",      ""poilon"" : ""103.78325"",      ""takeaway"" : ""yes"",      ""name"" : ""Mr Bean"",      ""id"" : ""6405687986"",      ""poidist"" : ""0.115""   },   ""longt"" : ""103.78373"",   ""remaining_credits"" : {},   ""confidence"" : ""1"",   ""inlongt"" : ""103.78373"",   ""class"" : {},   ""adminareas"" : {      ""admin6"" : {         ""wikipedia"" : ""en:South West Community Development Council"",         ""wikidata"" : ""Q5784126"",         ""source"" : ""https://cdc.org.sg/SouthWest/About-Us/About-the-CDC"",         ""name"" : ""Southwest"",         ""name_zh"" : ""西南区"",         ""ISO3166_2"" : ""SG-05"",         ""admin_level"" : ""6"",         ""level"" : ""6"",         ""boundary"" : ""administrative"",         ""type"" : ""boundary""      }   },   ""altgeocode"" : ""ESGRI-FCOKN""}"
NG TENG FONG GENERAL HOSPITAL, 1 JURONG EAST STREET 21 Singapore 609606,609606,10,"{   ""statename"" : {},   ""distance"" : ""0.000"",   ""elevation"" : ""11"",   ""osmtags"" : {      ""wikipedia"" : ""en:South West Community Development Council"",      ""wikidata"" : ""Q5784126"",      ""source"" : ""https://cdc.org.sg/SouthWest/About-Us/About-the-CDC"",      ""name"" : ""Southwest"",      ""name_zh"" : ""西南区"",      ""ISO3166_2"" : ""SG-05"",      ""admin_level"" : ""6"",      ""boundary"" : ""administrative"",      ""type"" : ""boundary""   },   ""state"" : ""SG"",   ""latt"" : ""1.33553"",   ""city"" : ""Singapore"",   ""prov"" : ""SG"",   ""intersection"" : {      ""distance"" : ""0.118"",      ""xlat"" : ""1.334465"",      ""xlon"" : ""103.743875"",      ""street2"" : ""J-Walk"",      ""street1"" : ""Boon Lay Way""   },   ""geocode"" : ""SIN-MPRGC"",   ""geonumber"" : ""5071986952762"",   ""country"" : ""Singapore"",   ""stnumber"" : ""1"",   ""staddress"" : ""JURONG EAST STREET 21"",   ""inlatt"" : ""1.33553"",   ""alt"" : {      ""loc"" : {         ""staddress"" : ""JURONG EAST STREET 21"",         ""stnumber"" : ""1"",         ""postal"" : ""609606"",         ""latt"" : ""1.33553"",         ""city"" : ""Singapore"",         ""prov"" : ""SG"",         ""longt"" : ""103.74387"",         ""class"" : {}      }   },   ""timezone"" : ""Asia/Singapore"",   ""region"" : {},   ""postal"" : ""609606"",   ""poi"" : {      ""wikipedia"" : ""en:Westgate (Singapore)"",      ""addr_country"" : ""SG"",      ""operator"" : ""CapitalMall Asia"",      ""poilon"" : ""103.7428"",      ""building_material"" : ""stone"",      ""id"" : ""158234014"",      ""name_en"" : ""Westgate"",      ""wikidata"" : ""Q17054930"",      ""poilat"" : ""1.33441"",      ""opening_hours"" : ""Mo-Su,PH 10:00-22:00"",      ""building_levels"" : ""5"",      ""name"" : ""Westgate"",      ""addr_postcode"" : ""608532"",      ""addr_street"" : ""Gateway Drive"",      ""building_colour"" : ""#8b7f79"",      ""shop"" : ""mall"",      ""addr_housenumber"" : ""3"",      ""addr_city"" : ""Singapore"",      ""building"" : ""yes"",      ""poidist"" : ""0.172""   },   ""longt"" : ""103.74387"",   ""remaining_credits"" : {},   ""confidence"" : ""1"",   ""inlongt"" : ""103.74387"",   ""class"" : {},   ""adminareas"" : {      ""admin6"" : {         ""wikipedia"" : ""en:South West Community Development Council"",         ""wikidata"" : ""Q5784126"",         ""source"" : ""https://cdc.org.sg/SouthWest/About-Us/About-the-CDC"",         ""name"" : ""Southwest"",         ""name_zh"" : ""西南区"",         ""ISO3166_2"" : ""SG-05"",         ""admin_level"" : ""6"",         ""level"" : ""6"",         ""boundary"" : ""administrative"",         ""type"" : ""boundary""      }   },   ""altgeocode"" : ""TERJUSG-MPRGC""}"
OUTRAM COMMUNITY HOSPITAL, 10 HOSPITAL BOULEVARD Singapore 168582,168582,92,"{   ""statename"" : {},   ""distance"" : ""0.000"",   ""elevation"" : ""19"",   ""osmtags"" : {      ""wikidata"" : ""Q2544592"",      ""source"" : ""https://www.cdc.org.sg/CentralSingapore/About_Us/Our_District"",      ""boundary"" : ""administrative"",      ""name"" : ""Central"",      ""ISO3166_2"" : ""SG-01"",      ""type"" : ""boundary"",      ""admin_level"" : ""6""   },   ""state"" : ""SG"",   ""latt"" : ""1.27764"",   ""city"" : ""Singapore"",   ""prov"" : ""SG"",   ""intersection"" : {      ""distance"" : ""0.007"",      ""xlat"" : ""1.27761628303189"",      ""xlon"" : ""103.835490819839"",      ""street2"" : ""HOSPITAL DRIVE"",      ""street1"" : ""HOSPITAL BOULEVARD""   },   ""geocode"" : ""SIN-GBVCW"",   ""geonumber"" : ""5071983967462"",   ""country"" : ""Singapore"",   ""stnumber"" : ""10"",   ""staddress"" : ""HOSPITAL BOULEVARD"",   ""inlatt"" : ""1.27764"",   ""alt"" : {      ""loc"" : {         ""staddress"" : ""HOSPITAL BOULEVARD"",         ""stnumber"" : ""10"",         ""postal"" : ""168582"",         ""latt"" : ""1.27764"",         ""city"" : ""Singapore"",         ""prov"" : ""SG"",         ""longt"" : ""103.83543"",         ""class"" : {}      }   },   ""timezone"" : ""Asia/Singapore"",   ""region"" : {},   ""postal"" : ""168582"",   ""poi"" : {      ""poilat"" : ""1.27719"",      ""website"" : ""https://miz-japanese-restaurant.business.site/"",      ""addr_country"" : ""SG"",      ""name"" : ""Miz Japanese Restaurant"",      ""phone"" : ""+65 6225 5761"",      ""addr_street"" : ""Kampong Bahru Road"",      ""addr_postcode"" : ""169347"",      ""amenity"" : ""restaurant"",      ""poilon"" : ""103.83665"",      ""addr_city"" : ""Singapore"",      ""addr_housenumber"" : ""17"",      ""id"" : ""3756850477"",      ""poidist"" : ""0.145"",      ""cuisine"" : ""japanese""   },   ""longt"" : ""103.83543"",   ""remaining_credits"" : {},   ""confidence"" : ""1"",   ""inlongt"" : ""103.83543"",   ""class"" : {},   ""adminareas"" : {      ""admin6"" : {         ""wikidata"" : ""Q2544592"",         ""source"" : ""https://www.cdc.org.sg/CentralSingapore/About_Us/Our_District"",         ""name"" : ""Central"",         ""ISO3166_2"" : ""SG-01"",         ""admin_level"" : ""6"",         ""level"" : ""6"",         ""boundary"" : ""administrative"",         ""type"" : ""boundary""      }   },   ""altgeocode"" : ""OUTRAMPARK-GBVCW""}"
PARKWAY EAST HOSPITAL, 321 Joo Chiat Place Singapore 427990,427990,26,"{   ""statename"" : {},   ""distance"" : ""0.006"",   ""elevation"" : ""12"",   ""osmtags"" : {      ""wikidata"" : ""Q2544592"",      ""source"" : ""https://www.cdc.org.sg/CentralSingapore/About_Us/Our_District"",      ""boundary"" : ""administrative"",      ""name"" : ""Central"",      ""ISO3166_2"" : ""SG-01"",      ""type"" : ""boundary"",      ""admin_level"" : ""6""   },   ""state"" : {},   ""latt"" : ""1.31512"",   ""city"" : ""Singapore"",   ""prov"" : ""SG"",   ""intersection"" : {      ""distance"" : ""0.070"",      ""xlat"" : ""1.31466"",      ""xlon"" : ""103.909465"",      ""street2"" : ""TELOK KURAU ROAD"",      ""street1"" : ""JOO CHIAT PLACE""   },   ""geocode"" : ""SIN-DVFKD"",   ""geonumber"" : ""5071982937427"",   ""country"" : ""Singapore"",   ""stnumber"" : ""319"",   ""staddress"" : ""JOO CHIAT PLACE"",   ""inlatt"" : ""1.31507"",   ""alt"" : {      ""loc"" : {         ""staddress"" : ""JOO CHIAT PLACE"",         ""stnumber"" : ""319"",         ""postal"" : ""427989"",         ""latt"" : ""1.31507"",         ""city"" : ""Singapore"",         ""prov"" : {},         ""longt"" : ""103.90899"",         ""class"" : {}      }   },   ""timezone"" : ""Asia/Singapore"",   ""region"" : ""Central Singapore"",   ""postal"" : ""427989"",   ""poi"" : {      ""smoking"" : ""separated"",      ""poilon"" : ""103.90955"",      ""id"" : ""567139106"",      ""poilat"" : ""1.31478"",      ""opening_hours"" : ""Mo-Su 08:00-22:00"",      ""building_levels"" : ""1"",      ""name"" : ""Fu fa Coffee House"",      ""addr_postcode"" : ""427999"",      ""addr_street"" : ""Joo Chiat Place"",      ""description"" : ""Non-air conditioned eatery with a mix of cuisines"",      ""amenity"" : ""cafe"",      ""addr_housenumber"" : ""334"",      ""addr_city"" : ""Singapore"",      ""outdoor_seating"" : ""yes"",      ""building"" : ""yes"",      ""internet_access"" : ""no"",      ""poidist"" : ""0.070""   },   ""longt"" : ""103.90897"",   ""remaining_credits"" : {},   ""confidence"" : ""1"",   ""inlongt"" : ""103.90899"",   ""class"" : {},   ""adminareas"" : {      ""admin6"" : {         ""wikidata"" : ""Q2544592"",         ""source"" : ""https://www.cdc.org.sg/CentralSingapore/About_Us/Our_District"",         ""name"" : ""Central"",         ""ISO3166_2"" : ""SG-01"",         ""admin_level"" : ""6"",         ""level"" : ""6"",         ""boundary"" : ""administrative"",         ""type"" : ""boundary""      }   },   ""altgeocode"" : ""PERANAKAN-DVFKD""}"
