Name,Address,postalCode,waitingTime
"A SPECIALIST CLINIC FOR SINUS, SNORING &amp; ENT","MOUNT ELIZABETH NOVENA SPECIALIST CENTRE 38 IRRAWADDY ROAD, #08-45, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE Singapore 329563",329563,85
A ST*R DENTAL SURGERY," 330 ANG MO KIO AVENUE 1, #01-1805, Singapore 560330",560330,24
A&amp;M MEDICAL CENTRE,"SINGAPORE SHOPPING CENTRE 190 CLEMENCEAU AVENUE, #04-17, SINGAPORE SHOPPING CENTRE Singapore 239924",239924,29
A+FFORDABLE CLINIC (AMK AVE 10)," 449 ANG MO KIO AVENUE 10, #01-1715, Singapore 560449",560449,10
A+FFORDABLE CLINIC (HOUGANG)," 681 HOUGANG AVENUE 8, #01-829, Singapore 530681",530681,32
"A. B. JOHN EAR, NOSE &amp; THROAT CLINIC &amp; SURGERY","MOUNT ELIZABETH MEDICAL CENTRE 3 MT ELIZABETH, #15-10, MOUNT ELIZABETH MEDICAL CENTRE Singapore 228510",228510,112
A.M AESTHETICS,"THE CLEMENTI MALL 3155 COMMONWEALTH AVENUE WEST, #04-50, THE CLEMENTI MALL Singapore 129588",129588,15
A.M. AESTHETICS,"BEDOK MALL 311 NEW UPPER CHANGI ROAD, #B1-18, BEDOK MALL Singapore 467360",467360,95
A.M.AESTHETICS,"LOT ONE, SHOPPERS' MALL 21 CHOA CHU KANG AVENUE 4, #02-26, LOT ONE, SHOPPERS' MALL Singapore 689812",689812,104
A1 MEDICAL CLINIC,"LINEAR GREEN @ BEDOK 418 BEDOK NORTH AVENUE 2, #01-63, LINEAR GREEN @ BEDOK Singapore 460418",460418,15
ABBOTT MANUFACTURING SINGAPORE MEDICAL CENTRE, 26 TUAS SOUTH AVENUE 10 Singapore 637437,637437,96
"ABEL SOH DIABETES, THYROID AND ENDOCRINE CLINIC","MOUNT ELIZABETH HOSPITAL 3 MOUNT ELIZABETH, #07-08, MOUNT ELIZABETH HOSPITAL Singapore 228510",228510,96
ABLE MEDICAL," 201D TAMPINES STREET 21, #01-1129, Singapore 524201",524201,8
ABOUT BRACES DENTAL SURGERY,"Novena Specialist Center 8 SINARAN DRIVE, #06-01, Novena Specialist Center Singapore 307470",307470,84
"ABRAHAM'S EAR, NOSE &amp; THROAT SURGERY PTE LTD","Paragon 290 Orchard Road, #11-10, Paragon Singapore 238859",238859,19
ABSOLUTE DENTAL,"ROXY SQUARE 50 EAST COAST ROAD, #01-59, ROXY SQUARE Singapore 428769",428769,81
ABSOLUTE FAMILY DENTAL,"BENDEMEER VILLE 22 BOON KENG ROAD, #01-41, BENDEMEER VILLE Singapore 330022",330022,56
ABSOLUTE SMILE DENTAL,"THE VENUE SHOPPES 2 TAI THONG CRESCENT, #01-04, THE VENUE SHOPPES Singapore 347836",347836,89
ACACIA MEDICAL CLINIC,"INTERLACE, THE 180 DEPOT ROAD, #01-07, INTERLACE, THE Singapore 109684",109684,80
ACCENT DENTAL SURGERY (JM) PTE LTD," 18 JALAN MEMBINA, #02-05, Singapore 164018",164018,110
ACCENT DENTAL SURGERY PTE LTD," 446 ANG MO KIO AVE 10, #01-1669, Singapore 560446",560446,65
ACCESS MEDICAL (BUKIT BATOK)," 164 BUKIT BATOK STREET 11, #01-152, Singapore 650164",650164,51
ACCESS MEDICAL (EAST COAST)," 18 BEDOK SOUTH ROAD, #01-69, Singapore 460018",460018,9
ACCESS MEDICAL (JURONG WEST)," 463 JURONG WEST STREET 41, #01-564, Singapore 640463",640463,63
ACCESS MEDICAL (KIM KEAT),"KIM KEAT PALM 19 LORONG 7 TOA PAYOH, #01-272, KIM KEAT PALM Singapore 310019",310019,27
ACCESS MEDICAL (REDHILL CLOSE)," 86 REDHILL CLOSE, #01-600, Singapore 150086",150086,78
ACCESS MEDICAL (TAMPINES 730),"TAMPINES COURTVIEW 730 TAMPINES STREET 71, #01-51, TAMPINES COURTVIEW Singapore 520730",520730,58
ACCESS MEDICAL (TOA PAYOH)," 66 LORONG 4 TOA PAYOH, #01-315/317, Singapore 310066",310066,57
ACCESS MEDICAL (WHAMPOA)," 87 WHAMPOA DRIVE, #01-869, Singapore 320087",320087,74
ACCLARO CLINIC,"PARAGON 290 ORCHARD ROAD, #12-01, PARAGON Singapore 238859",238859,37
ACCORD DENTAL CLINIC," 442 PASIR RIS DR 6, #01-26, Singapore 510442",510442,58
ACCORD MEDICAL CLINIC," 325 UBI AVENUE 1, #01-701, Singapore 400325",400325,88
ACE DENTAL CENTRE," 338 ANG MO KIO AVE 1, #01-1669, Singapore 560338",560338,90
ACE DENTAL CENTRE @ BT BATOK," 451 BUKIT BATOK WEST AVENUE 6, #01-05, Singapore 650451",650451,97
ACE FAMILY DENTALCARE," 56 NEW UPPER CHANGI ROAD, #01-1288, Singapore 461056",461056,69
ACE UROLOGY CLINIC &amp; SURGERY,"MOUNT ALVERNIA HOSPITAL MEDICAL CENTRE D 820 THOMSON ROAD, #07-56, MOUNT ALVERNIA HOSPITAL MEDICAL CENTRE D Singapore 574623",574623,86
ACJ WOMEN'S CLINIC PTE LTD,"MOUNT ALVERNIA HOSPITAL MEDICAL CENTRE D 820 THOMSON ROAD, #07-63/64, MOUNT ALVERNIA HOSPITAL MEDICAL CENTRE D Singapore 574623",574623,21
ACMS MEDICAL CLINIC,"ORCHARD BUILDING 1 GRANGE ROAD, #06-06, ORCHARD BUILDING Singapore 239693",239693,13
ACUFEM WOMEN'S SPECIALIST SERVICES,"JURONG POINT SHOPPING CENTRE 1 JURONG WEST CENTRAL 2, #B1A-19E, JURONG POINT SHOPPING CENTRE Singapore 648886",648886,101
ACUMED MEDICAL CENTRE (GUL CIRCLE), 14 TUAS AVENUE 1 LEVEL 2 Singapore 639499,639499,100
ACUMED MEDICAL CENTRE (KAKI BUKIT),KAKI BUKIT RECREATION CENTRE 7 KAKI BUKIT AVENUE 3 LEVEL 1 KAKI BUKIT RECREATION CENTRE Singapore 415814,415814,108
ACUMED MEDICAL CENTRE (KRANJI), 11 KRANJI CLOSE Singapore 737673,737673,116
ACUMED MEDICAL CENTRE (PENJURU),PENJURU RECREATION CENTRE 27 PENJURU WALK LEVEL 1 PENJURU RECREATION CENTRE Singapore 608538,608538,50
ACUMED MEDICAL GROUP,"CLIFFORD CENTRE 24 RAFFLES PLACE, #02-05, CLIFFORD CENTRE Singapore 048621",048621,93
ADAM ROAD MEDICAL CENTRE PSYCHIATRIC &amp; PSYCHOLOGICAL SERVICES,"King's Arcade 559 Bukit Timah Road, #01-02, King's Arcade Singapore 269695",269695,61
ADELINA WOMEN'S CLINIC,"Thomson Medical Centre 339 Thomson Road, #06-04, Thomson Medical Centre Singapore 307677",307677,96
ADELPHI PSYCH MEDICINE CLINIC,"THE ADELPHI 1 COLEMAN STREET, #04-32, THE ADELPHI Singapore 179803",179803,18
ADIDAH FAMILY CLINIC &amp; SURGERY," 821 TAMPINES ST 81, #01-210, Singapore 520821",520821,24
ADMIRALTY FAMILY MEDICAL CLINIC," 693 WOODLANDS AVENUE 6, #01-08, Singapore 730693",730693,74
ADMIRALTY MEDICAL CENTRE,"Kampung Admiralty 676 WOODLANDS DRIVE 71, #03-01, Kampung Admiralty Singapore 730676",730676,42
ADRIAN TAN NEUROLOGY PRACTICE PTE LTD,"MOUNT ELIZABETH MEDICAL CENTRE 3 MOUNT ELIZABETH, #05-09, MOUNT ELIZABETH MEDICAL CENTRE Singapore 228510",228510,71
ADULT &amp; CHILD ENT SPECIALISTS,"CONNEXION 1 FARRER PARK STATION ROAD, #14-04, CONNEXION Singapore 217562",217562,49
ADULT &amp; CHILD EYE (ACE) CLINIC,"MOUNT ELIZABETH NOVENA SPECIALIST CENTRE 38 IRRAWADDY ROAD, #07-43, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE Singapore 329563",329563,84
ADULT &amp; CHILD PSYCHOLOGICAL WELLNESS CLINIC,"Royal Square at Novena 101 IRRAWADDY ROAD, #13-05, Royal Square at Novena Singapore 329565",329565,32
ADVANCE CLINIC &amp; SURGERY PTE LTD," 301 UBI AVE 1, #01-269, Singapore 400301",400301,64
ADVANCE DIALYSIS SERVICES PTE LTD," 101 TOWNER ROAD, #01-214, Singapore 322101",322101,5
ADVANCE RENAL CARE (KOVAN), 21 SIMON ROAD Singapore 545907,545907,64
ADVANCE RENAL CARE (NOVENA),MOUNT ELIZABETH NOVENA HOSPITAL - LEVEL 3 38 IRRAWADDY ROAD MOUNT ELIZABETH NOVENA HOSPITAL - LEVEL 3 Singapore 329563,329563,103
ADVANCE SURGICAL GROUP PTE  LTD,"PARAGON 290 ORCHARD ROAD, #18-01, PARAGON Singapore 238859",238859,92
ADVANCED CENTRE FOR REPRODUCTIVE MEDICINE PTE. LTD.,"ANNEXE BLOCK GLENEAGLES HOSPITAL 6A NAPIER RD, #05-35, ANNEXE BLOCK GLENEAGLES HOSPITAL Singapore 258500",258500,56
ADVANCED DENTAL ANG MO KIO," 449 ANG MO KIO AVENUE 10, #01-1719, Singapore 560449",560449,11
ADVANCED DENTAL BEDOK," 56 NEW UPPER CHANGI ROAD, #01-1294, Singapore 461056",461056,74
ADVANCED DENTAL BUKIT PANJANG,"BUKIT PANJANG NEW TOWN 258 BUKIT PANJANG RING ROAD, #01-58, BUKIT PANJANG NEW TOWN Singapore 670258",670258,7
ADVANCED DENTAL CLINIC BUKIT PANJANG PTE LTD,"BUKIT PANJANG NEW TOWN 258 BUKIT PANJANG RING ROAD, #01-60, BUKIT PANJANG NEW TOWN Singapore 670258",670258,63
ADVANCED DENTAL CLINIC JURONG WEST PTE LTD," 498 JURONG WEST STREET 41, #01-482, Singapore 640498",640498,117
ADVANCED DENTAL CLINIC PASIR RIS PTE LTD,"LOYANG POINT 259 PASIR RIS STREET 21, #02-32, LOYANG POINT Singapore 510259",510259,78
ADVANCED DENTAL CLINIC SENGKANG,"RIVERVALE MALL 11 RIVERVALE CRESCENT, #02-12, RIVERVALE MALL Singapore 545082",545082,57
ADVANCED DENTAL CLINIC SERANGOON PTE LTD," 254 SERANGOON CENTRAL DRIVE, #01-213, Singapore 550254",550254,110
ADVANCED DENTAL PUNGGOL PLAZA,"PUNGGOL PLAZA 168 PUNGGOL FIELD, #01-13, PUNGGOL PLAZA Singapore 820168",820168,60
ADVANCED DENTAL PUNGGOL WATERWAY,"WATERWAY POINT 83 PUNGGOL CENTRAL, #02-10, WATERWAY POINT Singapore 828761",828761,16
ADVANCED DENTAL TAMPINES," 482 TAMPINES STREET 43, #01-238, Singapore 520482",520482,50
ADVANCED DENTAL TOA PAYOH," 19 LORONG 7 TOA PAYOH, #01-270, Singapore 310019",310019,6
ADVANCED EYE CLINIC &amp; SURGERY,"MOUNT ELIZABETH MEDICAL CENTRE 3 MOUNT ELIZABETH, #16-14, MOUNT ELIZABETH MEDICAL CENTRE Singapore 228510",228510,47
ADVANCED LAPAROSCOPIC SURGERY,"GLENEAGLES HOSPITAL ANNEXE BLOCK 6A NAPIER ROAD, #03-37C, GLENEAGLES HOSPITAL ANNEXE BLOCK Singapore 258500",258500,6
ADVANCED MEDICINE IMAGING,"AMNIOS 1 BIOPOLIS DRIVE, #01-02 / 03, AMNIOS Singapore 138622",138622,69
ADVANCED MEDICINE RADIOTHERAPY,"CONNEXION 1 FARRER PARK STATION ROAD, #08-06, CONNEXION Singapore 217562",217562,113
ADVANCED UROLOGY,"MOUNT ELIZABETH MEDICAL CENTRE 3 MOUNT ELIZABETH, #17-14, MOUNT ELIZABETH MEDICAL CENTRE Singapore 228510",228510,105
ADVANCED VASCULAR &amp; ENDOVASCULAR CLINIC,"MOUNT ELIZABETH NOVENA SPECIALIST CENTRE 38 IRRAWADDY ROAD, #08-36/37/38/39, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE Singapore 329563",329563,53
ADVANCED VASCULAR CENTRE,"MOUNT ALVERNIA HOSPITAL MEDICAL CENTRE D 820 THOMSON ROAD, #07-58, MOUNT ALVERNIA HOSPITAL MEDICAL CENTRE D Singapore 574623",574623,51
ADVENT DENTAL SURGERY PTE. LTD.," 530A JURONG WEST AVENUE 1, #01-907, Singapore 641530",641530,90
ADVENT ENDODONTICS INC PTE LTD,"PARAGON 290 ORCHARD ROAD, #11-10, PARAGON Singapore 238859",238859,38
AE MEDICAL CLINIC," 467B FERNVALE LINK, #01-529, Singapore 792467",792467,35
AEGIS DIALYSIS CENTRE PTE LTD," 716 YISHUN STREET 71, #01-272, Singapore 760716",760716,104
AELITE IMPLANT AND DENTAL CENTER,"BEAUTY WORLD CENTRE 144 UPPER BUKIT TIMAH ROAD, #01-05/06, BEAUTY WORLD CENTRE Singapore 588177",588177,18
AEON MEDICAL AND AESTHETIC CENTRE,"SCOTTS MEDICAL CENTER, PACIFIC PLAZA 9 SCOTTS ROAD, #06-01/02/03, SCOTTS MEDICAL CENTER, PACIFIC PLAZA Singapore 228210",228210,81
AESTEEM AESTHETIC CLINIC,"SQUARE 2 10 SINARAN DRIVE, #11-23, SQUARE 2 Singapore 307506",307506,39
AESTHETE SMILESTUDIO,"CLIFFORD CENTRE 24 RAFFLES PLACE, #02-04, CLIFFORD CENTRE Singapore 048621",048621,112
AESTHETIC &amp; DENTAL SURGERY,"MARINA SQUARE 6 RAFFLES BOULEVARD, #B1-10, MARINA SQUARE Singapore 039594",039594,84
AESTHETIC &amp; MEDICAL CLINIC,"WISMA ATRIA 435 ORCHARD ROAD, #17-04/05, WISMA ATRIA Singapore 238877",238877,51
AESTHETIC &amp; MEDICAL CLINIC (DR JOSEPH YANG@ORCHARD),"WISMA ATRIA 435 ORCHARD ROAD, #17-04/05, WISMA ATRIA Singapore 238877",238877,59
AESTHETIC &amp; RECONSTRUCTIVE CENTRE,"Mount Elizabeth Medical Centre 3 Mount Elizabeth, #13-08, Mount Elizabeth Medical Centre Singapore 228510",228510,57
AESTHETIC DENTAL CARE,"KECK SENG TOWER 133 CECIL STREET, #04-01, KECK SENG TOWER Singapore 069535",069535,44
AESTHETIC RECONSTRUCTIVE JAW SURGERY,"Mount Elizabeth Medical Centre 3 Mount Elizabeth, #04-05, Mount Elizabeth Medical Centre Singapore 228510",228510,70
AESTHETIC WORKS MEDICAL ASSOCIATES,"Parkway Parade 80 Marine Parade Road, #05-06/07, Parkway Parade Singapore 449269",449269,20
AESTHETICS DENTAL SURGERY,"WINSLAND HOUSE I 3 KILLINEY ROAD, #09-01, WINSLAND HOUSE I Singapore 239519",239519,7
AESTHETICS PLUS MEDICAL CLINIC," 57 CIRCULAR ROAD, #02-01, Singapore 049412",049412,27
AESTHETICS@HEALTHSPRINGS,"GREENRIDGE SHOPPING CENTRE 524A JELAPANG ROAD, #02-01/02, GREENRIDGE SHOPPING CENTRE Singapore 671524",671524,43
AFFINITY MEDICAL CLINIC," 253 SERANGOON CENTRAL DRIVE, #01-187, Singapore 550253",550253,85
AFFINITY SURGERY CENTRE,"Mount Elizabeth Novena Specialist Centre 38 IRRAWADDY ROAD, #09-45/46, Mount Elizabeth Novena Specialist Centre Singapore 329563",329563,93
AFFORD MEDICAL,"THE BROOKS II 25 SPRINGSIDE GREEN, #01-09, THE BROOKS II Singapore 786015",786015,50
AFPD MEDICAL CLINIC, 10 TAMPINES INDUSTRIAL AVENUE 3 Singapore 528798,528798,106
AGAPE CLINIC," 222 Bishan St. 23, #B1-169, Singapore 570222",570222,6
AGAPE WOMEN'S SPECIALISTS,"MEDICAL CENTRE D MOUNT ALVERNIA HOSPITAL 820 THOMSON ROAD, #06-70, MEDICAL CENTRE D MOUNT ALVERNIA HOSPITAL Singapore 574623",574623,47
AGASTHIAN THORACIC SURGERY PTE LTD,"MOUNT ELIZABETH MEDICAL CENTRE 3 MOUNT ELIZABETH, #14-12, MOUNT ELIZABETH MEDICAL CENTRE Singapore 228510",228510,116
AGE-LINK SPECIALIST CLINIC FOR OLDER PERSONS,"MOUNT ELIZABETH MEDICAL CENTRE 3 MOUNT ELIZABETH, #11-02, MOUNT ELIZABETH MEDICAL CENTRE Singapore 228510",228510,89
AGE-LINK SPECIALIST CLINIC FOR OLDER PERSONS,"MOUNT ELIZABETH NOVENA SPECIALIST CENTRE 38 IRRAWADDY ROAD, #06-21, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE Singapore 329563",329563,46
AGELESS MEDICAL,"WHEELOCK PLACE 501 ORCHARD ROAD, #04-10, WHEELOCK PLACE Singapore 238880",238880,37
"AGEWELL SENIORS CLINIC, AGEWELL ARTSZ MEDICAL GROUP PTE LTD","CONNEXION 1 FARRER PARK STATION ROAD, #13-07, CONNEXION Singapore 217562",217562,102
AGLOW BABY &amp; CHILD SPECIALIST CLINIC,"UNITED SQUARE 101 THOMSON ROAD, #02-09, UNITED SQUARE Singapore 307591",307591,40
AI MEDICAL AND WELLNESS CLINIC,"ROYAL SQUARE MEDICAL CENTRE 101 IRRAWADDY ROAD, #18-09, ROYAL SQUARE MEDICAL CENTRE Singapore 329565",329565,97
AIA ALEXANDRA CLINIC,"AIA ALEXANDRA 371 ALEXANDRA ROAD, #01-03, AIA ALEXANDRA Singapore 159963",159963,41
AIDAN MEDICAL CLINIC," 539 BEDOK NORTH STREET 3, #01-623, Singapore 460539",460539,14
AJ WARREN DENTAL CLINIC,"ICON @ PASIR PANJANG 218 PASIR PANJANG ROAD, #02-11, ICON @ PASIR PANJANG Singapore 118579",118579,76
ALAXIS MEDICAL &amp; AESTHETIC SURGERY,"INTERNATIONAL BUILDING 360 ORCHARD ROAD, #04-05, INTERNATIONAL BUILDING Singapore 238869",238869,51
ALDA DENTAL SURGERY," 48 TANGLIN HALT ROAD, #01-337, Singapore 142048",142048,7
ALDA DENTAL SURGERY(BEDOK)," 158 BEDOK SOUTH AVENUE 3, #01-589, Singapore 460158",460158,25
ALEX FOK ENDOCRINE PRACTICE,"MOUNT ELIZABETH MEDICAL CENTRE 3 MT ELIZABETH, #07-07, MOUNT ELIZABETH MEDICAL CENTRE Singapore 228510",228510,49
ALEX OOI &amp; ASSOCIATES OBGYN CONSULTANTS,"CONNEXION 1 FARRER PARK STATION ROAD, #12-05, CONNEXION Singapore 217562",217562,52
ALEXANDER DENTAL ASSOCIATES,"LUCKY PLAZA 304 ORCHARD ROAD, #05-30, LUCKY PLAZA Singapore 238863",238863,34
ALEXANDRA FAMILY CLINIC &amp; SURGERY," 57 DAWSON ROAD, #02-02, Singapore 142057",142057,105
ALEXIUS CHEE GASTROENTEROLOGY &amp; MEDICAL CLINIC,"Mount Elizabeth Medical Centre 3 Mount Elizabeth, #05-09, Mount Elizabeth Medical Centre Singapore 228510",228510,45
ALFRED CHENG CARDIAC CARE,"Mount Elizabeth Medical Centre 3 Mount Elizabeth, #15-15, Mount Elizabeth Medical Centre Singapore 228510",228510,103
ALFRED CHENG ORTHODONTIC CLINIC,"MOUNT ELIZABETH MEDICAL CENTRE 3 MT ELIZABETH, #03-03, MOUNT ELIZABETH MEDICAL CENTRE Singapore 228510",228510,105
ALIGN BRACES CLINIC,"PLAZA SINGAPURA 68 ORCHARD ROAD, #04-33, PLAZA SINGAPURA Singapore 238839",238839,25
ALIVEOMEDICAL,"MOUNT ELIZABETH HOSPITAL 3 MOUNT ELIZABETH, #10-07, MOUNT ELIZABETH HOSPITAL Singapore 228510",228510,51
ALJUNIED DENTAL SURGERY PTE LTD," 119 ALJUNIED AVE 2, #01-70, Singapore 380119",380119,71
ALL DERMA MEDICAL CLINIC,"INTERNATIONAL BUILDING 360 ORCHARD ROAD, #03-14, INTERNATIONAL BUILDING Singapore 238869",238869,75
"ALLERGY, ARTHRITIS &amp; RHEUMATISM CLINIC","CONNEXION 1 FARRER PARK STATION ROAD, #14-13, CONNEXION Singapore 217562",217562,84
ALLHEALTH FAMILY CLINIC," 872C TAMPINES STREET 86, #01-01, Singapore 523872",523872,114
ALLIANCE CLINIC AND PARTNERS PTE LTD," 652 JALAN TENAGA, #01-50, Singapore 410652",410652,2
ALLSMILES DENTAL CARE PLUS," 502 JURONG WEST AVENUE 1, #01-805, Singapore 640502",640502,48
ALLSMILES DENTAL CARE PTE LTD," 502 JURONG WEST AVENUE 1, #01-817, Singapore 640502",640502,27
ALLSMILES DENTAL CARE PUNGGOL PTE. LTD.," 681 PUNGGOL DRIVE, #03-10, Singapore 820681",820681,95
ALLURE PLASTIC SURGERY,"WISMA ATRIA 435 ORCHARD ROAD, #22-04, WISMA ATRIA Singapore 238877",238877,112
ALLY HEALTH," 46-2 COMMONWEALTH DRIVE, #01-372, Singapore 140462",140462,21
ALOHA DENTAL PTE LTD,"FAR EAST PLAZA 14 SCOTTS ROAD, #04-125/126, FAR EAST PLAZA Singapore 228213",228213,102
ALPHA DENTAL GROUP,"AXA TOWER 8 SHENTON WAY, #01-19, AXA TOWER Singapore 068811",068811,95
ALPHA IVF CENTRE ALPHA WOMEN'S SPECIALISTS,"ROYAL SQUARE AT NOVENA 101 IRRAWADDY ROAD, #12-07 to 14, ROYAL SQUARE AT NOVENA Singapore 329565",329565,98
ALPHA JOINTS &amp; ORTHOPAEDICS PTE LTD,"THE PARAGON 290 ORCHARD ROAD, #17-12, THE PARAGON Singapore 238859",238859,51
ALPHA JOINTS &amp; ORTHOPAEDICS PTE. LTD.,"GLENEAGLES MEDICAL CENTRE 6 NAPIER ROAD, #02-20, GLENEAGLES MEDICAL CENTRE Singapore 258499",258499,5
ALPHA WOMEN'S SPECIALISTS,"Royal Square @ Novena 101 IRRAWADDY ROAD, #12-12, Royal Square @ Novena Singapore 329565",329565,15
ALPINE SURGICAL PRACTICE,"PARKWAY EAST MEDICAL CENTRE 319 JOO CHIAT PLACE, #04-07, PARKWAY EAST MEDICAL CENTRE Singapore 427989",427989,1
ALPINE SURGICAL PRACTICE,"MOUNT ELIZABETH MEDICAL CENTRE 3 MOUNT ELIZABETH, #17-16, MOUNT ELIZABETH MEDICAL CENTRE Singapore 228510",228510,2
ALVIN HONG NEUROSURGERY,"Mount Elizabeth Medical Centre 3 Mount Elizabeth, #14-14, Mount Elizabeth Medical Centre Singapore 228510",228510,78
AMANDELA ENT HEAD &amp; NECK CENTRE,"Mount Elizabeth Novena Specialist Centre 38 IRRAWADDY ROAD, #10-45/46/47, Mount Elizabeth Novena Specialist Centre Singapore 329563",329563,97
AMARIS B CLINIC, 140 ARAB STREET Singapore 199827,199827,46
AMBULATORY SURGICARE (ASC),"Novena Medical Center 10 Sinaran Drive, #09-01, Novena Medical Center Singapore 307506",307506,101
AMDA INTERNATIONAL PEACE CLINIC,"BOTANIC GARDENS VIEW 9 TAMAN SERASI, #01-11, BOTANIC GARDENS VIEW Singapore 257720",257720,22
AMERICAN INTERNATIONAL CLINIC PTE LTD,"NOVENA MEDICAL CENTER 10 SINARAN DRIVE, #10-09/10, NOVENA MEDICAL CENTER Singapore 307506",307506,81
AMICAL DENTAL SURGERY," 827 Tampines Street 81, #01-132, Singapore 520827",520827,74
AMITY MEDICAL CLINIC &amp; DENTAL SURGERY," 371 BT BATOK ST 31, #01-314, Singapore 650371",650371,50
AMK FAMILY CLINIC PTE LTD,"NO 51 @ AMK 51 ANG MO KIO AVE 3, #01-01, NO 51 @ AMK Singapore 569922",569922,106
AMK SPECIALIST CENTRE,"AMK SPECIALIST CENTRE 723 ANG MO KIO AVENUE 8, #1 &amp; 2-NA, AMK SPECIALIST CENTRE Singapore 560723",560723,43
AMOY STREET DENTAL, 40 AMOY STREET Singapore 069866,069866,71
AMPM FAMILY CLINIC &amp; SURGERY PTE. LTD.," 123 TOA PAYOH LOR 1, #01-521, Singapore 310123",310123,102
AN DENTAL,"INTERNATIONAL BUILDING 360 ORCHARD ROAD, #03-06/07, INTERNATIONAL BUILDING Singapore 238869",238869,80
ANAESTHESIA &amp; ANALGESIA PAIN MANAGEMENT CENTRE,"Gleneagles Annexe Block 6A Napier Road, #05-36A, Gleneagles Annexe Block Singapore 258500",258500,32
